,created_at,pos,neg
0,2017-06-25T12:07:41Z,0,1
1,2017-06-25T12:00:37Z,0,1
2,2017-06-24T21:23:52Z,0,1
3,2017-06-24T20:50:56Z,1,0
4,2017-06-24T20:44:36Z,0,1
5,2017-06-24T20:28:46Z,0,1
6,2017-06-24T12:51:33Z,0,1
7,2017-06-24T00:43:48Z,0,1
8,2017-06-23T21:32:29Z,1,0
9,2017-06-23T19:56:29Z,1,0
10,2017-06-23T10:39:50Z,0,1
11,2017-06-23T10:07:50Z,0,1
12,2017-06-23T03:02:26Z,1,0
13,2017-06-23T03:00:00Z,0,1
14,2017-06-23T02:33:37Z,1,0
15,2017-06-22T23:27:50Z,0,1
16,2017-06-22T23:12:12Z,0,1
17,2017-06-22T22:40:27Z,1,0
18,2017-06-22T22:15:39Z,1,0
19,2017-06-22T21:49:07Z,1,0
20,2017-06-22T16:55:02Z,1,0
21,2017-06-22T16:54:50Z,0,1
22,2017-06-22T14:15:48Z,0,1
23,2017-06-22T14:08:50Z,1,0
24,2017-06-22T14:01:10Z,0,1
25,2017-06-22T13:22:04Z,1,0
26,2017-06-22T13:18:09Z,1,0
27,2017-06-22T11:11:25Z,0,1
28,2017-06-21T23:48:58Z,1,0
29,2017-06-21T23:04:54Z,1,0
30,2017-06-21T10:32:46Z,0,1
31,2017-06-21T03:48:37Z,0,1
32,2017-06-21T03:12:00Z,1,0
33,2017-06-21T02:41:23Z,1,0
34,2017-06-21T02:33:40Z,1,0
35,2017-06-21T02:21:36Z,0,1
36,2017-06-21T01:42:59Z,1,0
37,2017-06-20T18:38:11Z,1,0
38,2017-06-20T16:41:10Z,1,0
39,2017-06-20T10:02:06Z,1,0
40,2017-06-20T09:52:26Z,1,0
41,2017-06-20T09:49:50Z,1,0
42,2017-06-20T00:45:00Z,1,0
43,2017-06-19T23:57:48Z,1,0
44,2017-06-19T23:56:27Z,1,0
45,2017-06-19T23:44:02Z,1,0
46,2017-06-19T21:53:56Z,1,0
47,2017-06-19T20:35:37Z,1,0
48,2017-06-19T20:34:11Z,1,0
49,2017-06-19T20:27:27Z,0,1
50,2017-06-19T20:27:10Z,1,0
51,2017-06-19T20:15:07Z,1,0
52,2017-06-19T12:27:01Z,0,1
